id,track_name,artist,album,language,genre,youtube_id,thumbnail_url,energy,danceability,valence,tempo,acousticness,instrumentalness,speechiness,liveness,loudness,popularity,explicit,duration_ms,source,created_at
3e8fa9c0-a9cc-4f59-9852-f943a0fd4322,Udaarian,Satinder Sartaaj,,en,,9udS0mpi1L4,https://i.ytimg.com/vi/9udS0mpi1L4/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nQ3XTv_LWNXS_pPeZ3aPiZiMJW4w,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.7,0.8,false,351000,ytmusic_trending,2026-06-16 07:44:19.299779+00
06d8a5be-f64d-4fe7-9a45-013258c7005c,Naino Ne Baandhi - Lyrical | Gold | Akshay Kumar | Mouni Roy | Arko | Yasser Desai,Bollywood Lyrical Songs,,en,,XUgmh8lf8Yo,https://i.ytimg.com/vi/XUgmh8lf8Yo/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3l-aGDJZLNHK4pls0S3WIDM_3vq1A,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.7,0.8,false,250000,ytmusic_trending,2026-06-16 07:44:14.416929+00
475b7cdb-b6d8-4c67-82db-3abb4e101b3c,Oorula Unakkoru Medai Video | Raaghav,"Pushpavanam Kuppusamy, Raaghav",,en,,dXahRHkG-Kg,https://i.ytimg.com/vi/dXahRHkG-Kg/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3ksN8Bsqqje7DM9qEjhVlcIN9tYlQ,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.7,0.6,false,260000,ytmusic_playlist,2026-06-15 08:04:53.808574+00
dea1d750-13e1-49cb-a2c1-74d66cf0bfbc,Kaalamadan Gaanam,V.M. Mahalingam,,en,,kRxdJqaHppc,https://i.ytimg.com/vi/kRxdJqaHppc/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kGMMibr8jihNY9lg1xOoRlm0natw,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.7,0.6,false,322000,ytmusic_playlist,2026-06-15 08:04:53.190636+00
d7fa28a9-50ae-4b35-b94d-e81212ac94f8,Poongatru Thirumbuma,"Malaysia Vasudevan, S. Janaki, Ilaiyaraaja",,en,,kqi4VR_iBkg,https://i.ytimg.com/vi/kqi4VR_iBkg/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lS3QaTnqFIGKPGUdiPzFOKJ7CRAA,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.7,0.6,false,265000,ytmusic_playlist,2026-06-15 08:04:52.57213+00
52a3ae60-4a46-426f-9be7-a3e19b5f6130,Enna Nenache - HD Video Song | Chokkathangam | Vijayakanth | Unnikrishnan | Anuradha Sriram | Deva,Star Hits,,en,,_4q_wVDoJk8,https://i.ytimg.com/vi/_4q_wVDoJk8/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mthRHS0tP4bd_qF-m1TimQSZLFqw,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.7,0.6,false,278000,ytmusic_playlist,2026-06-15 08:04:50.779685+00
a3f8755e-273b-4d5b-badb-9175c1fbda95,Pappali Pazhamey,"Hiphop Tamizha, Gana Vinoth, Gana Ulagam Dharani, K.R.Dharan",,en,,cvmxbC5-Raw,https://i.ytimg.com/vi/cvmxbC5-Raw/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nqBj4KPMLuWiM0k4AKuds4IdkTxw,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.7,0.6,false,230000,ytmusic_playlist,2026-06-15 08:04:48.258279+00
e3f6d3ea-ec56-4fc6-a607-b1adbc49c424,"Deeyaalo Deeyaalo Video | Anandhi, Chandran | D. Imman",Orathanadu Gopu,,en,,VMUa1Kp-s1w,https://i.ytimg.com/vi/VMUa1Kp-s1w/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nbB05c7YE97arL5BoOOhzm7-djHw,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.7,0.6,false,206000,ytmusic_playlist,2026-06-15 08:04:47.644367+00
5a7745d9-82f0-47bf-a9ae-9e73a95e7d27,Nooraandukku Oru Murai,"Gopal Sharma, Devi",,en,,5BZtZxh_w1M,https://i.ytimg.com/vi/5BZtZxh_w1M/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3ksb0d-9Kylxx8OboLPSGKq-bMkXw,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.7,0.6,false,324000,ytmusic_playlist,2026-06-15 08:04:47.007848+00
390073b0-8830-4642-9a8f-887dcd360953,Lokiverse Theme Video - Vikram | Kamal Haasan | ANIRUDH RAVICHANDER | Lokesh Kanagaraj,Sony Music South,,en,,IxDvpoCmAaY,https://i.ytimg.com/vi/IxDvpoCmAaY/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3maNSpmtVLjj3-oNTmfr4c5b8ix1w,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.7,0.6,false,153000,ytmusic_playlist,2026-06-15 08:04:45.805947+00
